x0,x1,x2,time,status
0.57071716,0.5599516,-0.4548148,7.670356,1.0
0.75186527,-0.28436545,0.001990251,5.038248,1.0
0.36692587,0.42540404,-0.25949848,17.822994,1.0
0.12239237,0.0061663305,-0.9724631,5.1505804,0.0
0.5456532,0.7652824,-0.27022803,5.4999766,1.0
0.7382548,-0.12765315,0.6042953,3.5117111,1.0
-0.5624158,0.84973526,-0.11571849,18.637274,0.0
-0.9052895,0.34976187,0.18924956,4.3796644,1.0
0.23488341,0.82424575,0.58104825,1.0426302,1.0
-0.42949808,0.2498334,-0.04381241,14.775173,0.0
-0.09670319,0.96400946,-0.7521146,10.87954,0.0
-0.7612382,0.4770461,0.17460726,5.241533,1.0
-0.05673493,-0.78574634,-0.54156286,7.6770916,0.0
0.7999304,-0.16649292,0.07170332,9.529722,0.0
-0.987583,-0.3987166,-0.12621365,3.4485767,0.0
0.41199514,-0.7003326,0.49212682,9.799484,1.0
0.662014,0.26745152,-0.12338024,5.126829,1.0
-0.69485444,0.13681923,0.056448556,8.152,1.0
0.07375639,0.63840413,-0.8857687,11.49008,0.0
0.7581383,-0.4947685,-0.3039824,16.573553,1.0
-0.63482255,0.8035921,0.4130563,1.180482,1.0
-0.88998723,-0.35361037,0.1809636,8.197463,0.0
0.7077971,-0.42587516,-0.6538656,18.542501,0.0
0.80129725,0.95448285,0.11378936,1.1958371,1.0
-0.71512926,0.10493788,-0.45391348,4.7617736,0.0
0.9489903,0.33557382,-0.48869342,6.373035,1.0
0.52320784,0.8288062,0.31724557,4.4222903,1.0
0.13673516,-0.5964886,0.39659274,12.297351,1.0
0.9043908,0.7799266,0.98713475,0.2868047,1.0
0.637407,0.09024433,-0.09749189,13.17458,1.0
0.7811144,0.94652957,0.18682265,0.9112403,1.0
0.24555318,-0.012634709,0.6810754,1.9175714,1.0
0.42419398,-0.112182036,-0.9379303,28.683191,0.0
-0.27352047,0.46144357,-0.048866853,30.0,0.0
-0.31116605,0.28176087,-0.74758935,30.0,0.0
0.60474837,0.8911065,0.95807767,0.16615435,1.0
0.4495799,0.43335578,-0.91784286,3.6478214,1.0
-0.12103645,-0.43586043,-0.33000806,28.680632,1.0
-0.832946,0.5216983,0.018544894,6.240978,1.0
-0.1065197,-0.16978356,-0.039222986,30.0,0.0
0.96664715,-0.25315258,-0.97518605,23.390768,0.0
0.2602662,-0.28434607,-0.57436013,1.3775005,0.0
-0.55336154,-0.16087241,-0.85417956,7.9369273,1.0
0.30167815,0.51137227,0.86420244,0.5124372,1.0
0.6553987,0.80227906,-0.14539243,4.6822495,1.0
